                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9709,                 1.3969,                 2.0332,                 0.8944,                0.73659,                0.84252,                0.32038,                 2.2606,                 1.5656,                 2.4263,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.9739,                 1.3893,                 2.0627,                0.77943,                0.71739,                0.79257,                0.35055,                 2.0381,                 1.4917,                 2.3292,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.8289,                 1.4049,                 1.9377,                0.94283,                0.71739,                0.83935,                0.34613,                 2.0877,                 1.4745,                 2.3482,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8961,                 1.3702,                 1.9978,                0.91399,                0.80435,                0.90166,                0.36718,                 2.1242,                 1.3026,                 2.2832,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.8481,                 1.3239,                 1.9482,                0.86193,                0.67866,                0.79684,                0.32187,                 2.1941,                 1.6239,                 2.3675,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.8989,                 1.3005,                 2.0164,                0.83814,                0.78808,                 0.8591,                0.41236,                 2.0541,                 1.3354,                 2.2572,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.8055,                 1.3343,                 1.9054,                0.93065,                0.71739,                0.87296,                0.34876,                 2.2168,                 1.4084,                 2.4346,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.9036,                 1.3646,                 2.0025,                0.78118,                0.78261,                0.73464,                0.31978,                 2.1409,                 1.5796,                 2.3176,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8826,                 1.3735,                 1.9803,                 0.8955,                0.74525,                0.85562,                0.35945,                 2.0274,                 1.5821,                 2.2819,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.8718,                 1.3874,                 1.9712,                  0.898,                0.76563,                0.86174,                0.38735,                 2.0422,                 1.3934,                 2.2297,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7599,                  1.217,                 1.8921,                0.78877,                0.84783,                0.85278,                0.38593,                 2.1232,                 1.4392,                 2.2893,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.8182,                 1.2719,                 1.8715,                 0.9449,                0.73913,                0.87706,                0.37158,                 1.9721,                 1.3554,                 2.1961,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.8299,                 1.2947,                 1.9383,                0.94613,                0.76376,                0.85977,                0.33695,                 2.1919,                  1.443,                 2.3197,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.9104,                 1.3553,                 1.9471,                0.91989,                0.80435,                0.89116,                0.40788,                 1.9911,                 1.2441,                 2.2441,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7914,                 1.2129,                 1.9628,                0.97122,                0.73374,                 0.8627,                0.35822,                 2.1185,                 1.3812,                 2.3131,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.7971,                 1.2043,                 1.8784,                0.88293,                0.82609,                0.87237,                0.37018,                 2.0796,                 1.2481,                  2.317,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7542,                 1.2548,                 1.8929,                0.85243,                0.78261,                 0.8987,                 0.4484,                 1.8401,                 1.1432,                 2.1121,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.7764,                 1.1702,                 1.8636,                0.77079,                0.80435,                0.81171,                0.34129,                 2.1597,                 1.3895,                 2.3274,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6963,                  1.184,                  1.814,                0.80793,                0.82306,                0.84547,                 0.3326,                 2.3144,                  1.387,                 2.4127,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.7124,                 1.1945,                 1.8331,                0.82572,                0.84783,                 0.9127,                 0.4412,                 2.0124,                 1.1892,                 2.1732,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.8285,                 1.2486,                 1.8726,                0.97558,                0.86856,                 0.9657,                0.43837,                 2.1096,                 1.0844,                 2.2814,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.6435,                 1.1216,                 1.7544,                 0.9635,                0.78261,                0.90582,                0.42932,                 2.0027,                 1.2487,                 2.2186,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.6983,                 1.1358,                 1.7875,                 0.8785,                0.80435,                0.86681,                0.40007,                 2.0601,                 1.3108,                 2.1989,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.5951,                 1.0895,                 1.7137,                0.90032,                0.78542,                0.90145,                0.44341,                 1.9113,                 1.0208,                 2.1491,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.5623,                 1.0487,                 1.6557,                0.94822,                0.73913,                0.88878,                0.37229,                 2.1654,                 1.2652,                 2.3209,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6751,                 1.0553,                 1.8008,                0.92397,                0.80435,                0.92085,                0.37548,                 2.1465,                 1.0483,                 2.3019,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.6957,                  1.116,                 1.7956,                0.91059,                 0.8913,                0.92594,                0.44219,                 1.9157,                 1.0021,                 2.0961,             0.00069331,             0.00069331,             0.00069331
